date,close,pred_label,confidence
2022-03-03,143.61000061035156,0.0,0.2775290310382843
2022-03-04,145.9600067138672,-1.0,-1.0
2022-03-07,139.6999969482422,-1.0,-1.0
2022-03-08,136.07000732421875,-1.0,-1.0
2022-03-09,138.4499969482422,-1.0,-1.0
2022-03-10,141.92999267578125,-1.0,-1.0
2022-03-11,134.16000366210938,-1.0,-1.0
2022-03-14,134.47999572753906,-1.0,-1.0
2022-03-15,135.4499969482422,-1.0,-1.0
2022-03-16,136.88999938964844,-1.0,-1.0
2022-03-17,138.52000427246094,-1.0,-1.0
2022-03-18,139.8699951171875,-1.0,-1.0
2022-03-21,136.74000549316406,-1.0,-1.0
2022-03-22,139.07000732421875,-1.0,-1.0
2022-03-23,138.74000549316406,-1.0,-1.0
2022-03-24,139.2899932861328,-1.0,-1.0
2022-03-25,142.3699951171875,-1.0,-1.0
2022-03-28,138.3699951171875,-1.0,-1.0
2022-03-29,139.22999572753906,-1.0,-1.0
2022-03-30,138.25999450683594,-1.0,-1.0
2022-03-31,138.25999450683594,-1.0,-1.0
2022-04-01,139.22999572753906,-1.0,-1.0
2022-04-04,141.16000366210938,-1.0,-1.0
2022-04-05,142.39999389648438,-1.0,-1.0
2022-04-06,139.3800048828125,-1.0,-1.0
2022-04-07,144.0800018310547,-1.0,-1.0
2022-04-08,142.82000732421875,-1.0,-1.0
2022-04-11,140.38999938964844,-1.0,-1.0
2022-04-12,140.86000061035156,-1.0,-1.0
2022-04-13,142.72999572753906,-1.0,-1.0
2022-04-14,142.77999877929688,0.0,0.4854897558689117
2022-04-18,142.0800018310547,-1.0,-1.0
2022-04-19,144.27999877929688,-1.0,-1.0
2022-04-20,143.41000366210938,-1.0,-1.0
2022-04-21,140.55999755859375,-1.0,-1.0
2022-04-22,137.27000427246094,-1.0,-1.0
2022-04-25,138.86000061035156,-1.0,-1.0
2022-04-26,135.50999450683594,-1.0,-1.0
2022-04-27,126.9000015258789,0.0,0.4357709288597107
2022-04-27,126.9000015258789,0.0,0.249966874718666
2022-04-28,128.8300018310547,-1.0,-1.0
2022-04-29,126.29000091552734,-1.0,-1.0
2022-05-02,128.5399932861328,-1.0,-1.0
2022-05-03,127.73999786376953,-1.0,-1.0
2022-05-04,126.91999816894531,-1.0,-1.0
2022-05-05,122.94000244140625,-1.0,-1.0
2022-05-06,120.19000244140625,-1.0,-1.0
2022-05-09,119.29000091552734,-1.0,-1.0
2022-05-10,120.4800033569336,-1.0,-1.0
2022-05-11,122.27999877929688,-1.0,-1.0
2022-05-12,120.61000061035156,-1.0,-1.0
2022-05-13,122.19999694824219,-1.0,-1.0
2022-05-16,122.48999786376953,-1.0,-1.0
2022-05-17,124.01000213623047,-1.0,-1.0
2022-05-18,121.54000091552734,-1.0,-1.0
2022-05-19,120.61000061035156,-1.0,-1.0
2022-05-20,122.02999877929688,-1.0,-1.0
2022-05-23,124.12000274658203,-1.0,-1.0
2022-05-24,123.48999786376953,-1.0,-1.0
2022-05-25,123.29000091552734,-1.0,-1.0
2022-05-26,124.2300033569336,-1.0,-1.0
2022-05-27,126.18000030517578,-1.0,-1.0
2022-05-31,125.08000183105469,-1.0,-1.0
2022-06-01,126.3499984741211,-1.0,-1.0
2022-06-02,129.3300018310547,-1.0,-1.0
2022-06-03,129.75999450683594,-1.0,-1.0
2022-06-06,129.17999267578125,-1.0,-1.0
2022-06-07,129.0,-1.0,-1.0
2022-06-08,128.0500030517578,-1.0,-1.0
2022-06-09,125.55000305175781,-1.0,-1.0
2022-06-10,123.79000091552734,-1.0,-1.0
2022-06-13,120.62000274658203,-1.0,-1.0
2022-06-14,121.44999694824219,-1.0,-1.0
2022-06-15,121.13999938964844,-1.0,-1.0
2022-06-16,117.5999984741211,-1.0,-1.0
2022-06-17,119.41999816894531,-1.0,-1.0
2022-06-21,120.18000030517578,-1.0,-1.0
2022-06-22,118.58999633789062,-1.0,-1.0
2022-06-23,118.54000091552734,-1.0,-1.0
2022-06-24,124.0999984741211,-1.0,-1.0
