date,close,pred_label,confidence
2022-04-27,77.5999984741211,0.0,0.4189258515834808
2022-04-28,82.5999984741211,-1.0,-1.0
2022-04-29,81.13999938964844,-1.0,-1.0
2022-05-02,82.80000305175781,-1.0,-1.0
2022-05-03,83.3499984741211,-1.0,-1.0
2022-05-04,84.47000122070312,-1.0,-1.0
2022-05-05,81.75,-1.0,-1.0
2022-05-06,81.5199966430664,-1.0,-1.0
2022-05-09,81.8499984741211,-1.0,-1.0
2022-05-10,82.75,-1.0,-1.0
2022-05-11,81.55000305175781,-1.0,-1.0
2022-05-12,81.08000183105469,-1.0,-1.0
2022-05-13,82.16999816894531,-1.0,-1.0
2022-05-16,81.75,-1.0,-1.0
2022-05-17,84.94999694824219,-1.0,-1.0
2022-05-18,83.41999816894531,-1.0,-1.0
2022-05-19,82.0199966430664,-1.0,-1.0
2022-05-20,80.91999816894531,-1.0,-1.0
2022-05-23,81.05000305175781,-1.0,-1.0
2022-05-24,81.11000061035156,-1.0,-1.0
2022-05-25,81.41000366210938,-1.0,-1.0
2022-05-26,82.5999984741211,-1.0,-1.0
2022-05-27,84.94000244140625,-1.0,-1.0
2022-05-31,84.80000305175781,-1.0,-1.0
2022-06-01,83.54000091552734,-1.0,-1.0
2022-06-02,84.4800033569336,-1.0,-1.0
2022-06-03,83.79000091552734,-1.0,-1.0
2022-06-06,84.76000213623047,-1.0,-1.0
2022-06-07,87.3499984741211,-1.0,-1.0
2022-06-08,84.98999786376953,-1.0,-1.0
2022-06-09,84.94999694824219,-1.0,-1.0
2022-06-10,83.83999633789062,-1.0,-1.0
2022-06-13,80.81999969482422,-1.0,-1.0
2022-06-14,81.61000061035156,-1.0,-1.0
2022-06-15,82.93000030517578,-1.0,-1.0
2022-06-16,75.7300033569336,-1.0,-1.0
2022-06-17,77.1500015258789,-1.0,-1.0
2022-06-21,78.4800033569336,-1.0,-1.0
2022-06-22,77.4800033569336,-1.0,-1.0
2022-06-23,77.51000213623047,-1.0,-1.0
2022-06-24,81.0,-1.0,-1.0
2022-06-27,81.69000244140625,-1.0,-1.0
2022-06-28,79.56999969482422,-1.0,-1.0
2022-06-29,78.16999816894531,-1.0,-1.0
2022-06-30,78.5,-1.0,-1.0
2022-07-01,77.98999786376953,-1.0,-1.0
2022-07-05,77.62000274658203,-1.0,-1.0
2022-07-06,76.62999725341797,-1.0,-1.0
2022-07-07,77.62000274658203,-1.0,-1.0
2022-07-08,77.44000244140625,-1.0,-1.0
2022-07-11,78.36000061035156,-1.0,-1.0
2022-07-12,78.27999877929688,-1.0,-1.0
2022-07-13,78.20999908447266,-1.0,-1.0
2022-07-14,78.22000122070312,-1.0,-1.0
2022-07-15,79.41000366210938,-1.0,-1.0
2022-07-18,77.87999725341797,-1.0,-1.0
2022-07-19,81.30999755859375,-1.0,-1.0
2022-07-20,84.0199966430664,-1.0,-1.0
2022-07-21,85.29000091552734,-1.0,-1.0
2022-07-22,84.93000030517578,-1.0,-1.0
2022-07-25,84.86000061035156,-1.0,-1.0
2022-07-26,85.80999755859375,-1.0,-1.0
2022-07-27,89.05000305175781,0.0,0.3377542197704315
2022-07-28,91.41999816894531,-1.0,-1.0
2022-07-29,93.94999694824219,-1.0,-1.0
2022-08-01,94.01000213623047,-1.0,-1.0
