date,close,pred_label,confidence
2022-03-03,120.33999633789062,0.0,0.458616554737091
2022-03-04,118.55000305175781,-1.0,-1.0
2022-03-07,114.44999694824219,0.0,0.0676003545522689
2022-03-08,114.5999984741211,-1.0,-1.0
2022-03-09,120.61000061035156,-1.0,-1.0
2022-03-10,120.91000366210938,-1.0,-1.0
2022-03-11,119.91000366210938,-1.0,-1.0
2022-03-14,115.27999877929688,1.0,0.323909193277359
2022-03-15,121.16000366210938,-1.0,-1.0
2022-03-16,124.19000244140625,-1.0,-1.0
2022-03-17,126.0,-1.0,-1.0
2022-03-18,131.25,-1.0,-1.0
2022-03-21,131.9499969482422,-1.0,-1.0
2022-03-22,136.02000427246094,-1.0,-1.0
2022-03-23,133.14999389648438,-1.0,-1.0
2022-03-24,139.6699981689453,-1.0,-1.0
2022-03-25,138.39999389648438,-1.0,-1.0
2022-03-28,139.38999938964844,-1.0,-1.0
2022-03-29,140.8000030517578,-1.0,-1.0
2022-03-30,138.19000244140625,-1.0,-1.0
2022-03-31,138.97999572753906,-1.0,-1.0
2022-04-01,139.47999572753906,-1.0,-1.0
2022-04-04,142.75,-1.0,-1.0
2022-04-05,141.07000732421875,-1.0,-1.0
2022-04-06,132.00999450683594,-1.0,-1.0
2022-04-07,132.82000732421875,-1.0,-1.0
2022-04-08,131.02999877929688,-1.0,-1.0
2022-04-11,127.16000366210938,-1.0,-1.0
2022-04-12,127.41999816894531,-1.0,-1.0
2022-04-13,131.3699951171875,-1.0,-1.0
2022-04-14,126.58000183105469,-1.0,-1.0
2022-04-18,126.19999694824219,-1.0,-1.0
2022-04-19,128.83999633789062,-1.0,-1.0
2022-04-20,127.16000366210938,-1.0,-1.0
2022-04-21,120.19000244140625,-1.0,-1.0
2022-04-22,117.69999694824219,-1.0,-1.0
2022-04-25,118.94000244140625,-1.0,-1.0
2022-04-26,115.23999786376953,-1.0,-1.0
2022-04-27,115.18000030517578,-1.0,-1.0
2022-04-28,120.91000366210938,-1.0,-1.0
2022-04-29,115.56999969482422,-1.0,-1.0
2022-05-02,118.26000213623047,-1.0,-1.0
2022-05-03,114.02999877929688,-1.0,-1.0
2022-05-04,117.79000091552734,-1.0,-1.0
2022-05-05,110.9800033569336,-1.0,-1.0
2022-05-06,110.9800033569336,-1.0,-1.0
2022-05-09,102.4800033569336,-1.0,-1.0
2022-05-10,105.11000061035156,-1.0,-1.0
2022-05-11,102.91000366210938,-1.0,-1.0
2022-05-12,101.66999816894531,-1.0,-1.0
2022-05-13,108.6500015258789,-1.0,-1.0
2022-05-16,105.0,-1.0,-1.0
2022-05-17,107.37000274658203,-1.0,-1.0
2022-05-18,102.56999969482422,-1.0,-1.0
2022-05-19,101.0999984741211,-1.0,-1.0
2022-05-20,102.63999938964844,-1.0,-1.0
2022-05-23,102.30000305175781,-1.0,-1.0
2022-05-24,99.69000244140625,-1.0,-1.0
2022-05-25,100.94999694824219,-1.0,-1.0
2022-05-26,103.70999908447266,-1.0,-1.0
2022-05-27,105.87000274658203,-1.0,-1.0
2022-05-31,102.27999877929688,-1.0,-1.0
2022-06-01,101.66999816894531,-1.0,-1.0
2022-06-02,106.13999938964844,-1.0,-1.0
2022-06-03,103.16999816894531,-1.0,-1.0
2022-06-06,103.51000213623047,-1.0,-1.0
2022-06-07,104.30000305175781,-1.0,-1.0
2022-06-08,103.05000305175781,-1.0,-1.0
2022-06-09,98.41000366210938,-1.0,-1.0
2022-06-10,94.95999908447266,-1.0,-1.0
2022-06-13,92.08999633789062,-1.0,-1.0
2022-06-14,91.93000030517578,-1.0,-1.0
2022-06-15,92.87000274658203,-1.0,-1.0
2022-06-16,90.41999816894531,-1.0,-1.0
2022-06-17,90.94000244140625,-1.0,-1.0
2022-06-21,93.83000183105469,-1.0,-1.0
2022-06-22,93.04000091552734,-1.0,-1.0
2022-06-23,95.36000061035156,-1.0,-1.0
2022-06-24,99.81999969482422,-1.0,-1.0
2022-06-27,98.87000274658203,-1.0,-1.0
2022-06-28,95.26000213623047,-1.0,-1.0
2022-06-29,94.93000030517578,-1.0,-1.0
2022-06-30,93.73999786376953,-1.0,-1.0
2022-07-01,93.41000366210938,-1.0,-1.0
2022-07-05,96.1500015258789,-1.0,-1.0
2022-07-06,98.62999725341797,-1.0,-1.0
2022-07-07,101.97000122070312,-1.0,-1.0
2022-07-08,103.0,-1.0,-1.0
2022-07-11,101.69999694824219,-1.0,-1.0
2022-07-12,98.26000213623047,-1.0,-1.0
2022-07-13,98.30000305175781,-1.0,-1.0
2022-07-14,99.0999984741211,-1.0,-1.0
2022-07-15,101.66999816894531,-1.0,-1.0
2022-07-18,100.58000183105469,-1.0,-1.0
2022-07-19,104.75,-1.0,-1.0
2022-07-20,104.88999938964844,-1.0,-1.0
2022-07-21,105.94999694824219,-1.0,-1.0
2022-07-22,102.37999725341797,-1.0,-1.0
2022-07-25,103.45999908447266,0.0,0.0125222280621528
2022-07-26,103.33999633789062,-1.0,-1.0
2022-07-27,109.0999984741211,-1.0,-1.0
2022-07-28,115.33000183105469,-1.0,-1.0
2022-07-29,116.62999725341797,-1.0,-1.0
2022-08-01,117.61000061035156,-1.0,-1.0
2022-08-02,117.13999938964844,0.0,0.2696993350982666
2022-08-03,121.69999694824219,-1.0,-1.0
2022-08-04,123.05999755859375,-1.0,-1.0
2022-08-05,126.68000030517578,-1.0,-1.0
2022-08-08,124.70999908447266,-1.0,-1.0
2022-08-09,120.97000122070312,-1.0,-1.0
2022-08-10,127.47000122070312,-1.0,-1.0
2022-08-11,126.02999877929688,-1.0,-1.0
2022-08-12,126.86000061035156,-1.0,-1.0
2022-08-15,128.74000549316406,-1.0,-1.0
2022-08-16,129.91000366210938,-1.0,-1.0
2022-08-17,129.4600067138672,-1.0,-1.0
2022-08-18,132.74000549316406,-1.0,-1.0
2022-08-19,130.0,-1.0,-1.0
2022-08-22,127.13999938964844,-1.0,-1.0
2022-08-23,126.95999908447266,-1.0,-1.0
2022-08-24,125.62999725341797,-1.0,-1.0
2022-08-25,126.48999786376953,-1.0,-1.0
2022-08-26,123.02999877929688,-1.0,-1.0
2022-08-29,121.58000183105469,-1.0,-1.0
2022-08-30,121.0999984741211,-1.0,-1.0
2022-08-31,119.87999725341797,-1.0,-1.0
2022-09-01,117.27999877929688,-1.0,-1.0
2022-09-02,117.30000305175781,-1.0,-1.0
2022-09-06,117.55000305175781,0.0,0.8327540755271912
2022-09-07,120.2699966430664,-1.0,-1.0
2022-09-08,122.77999877929688,-1.0,-1.0
2022-09-09,124.41000366210938,1.0,0.250117540359497
2022-09-12,124.75,-1.0,-1.0
2022-09-13,119.91999816894531,-1.0,-1.0
2022-09-14,122.26000213623047,-1.0,-1.0
2022-09-15,116.94000244140625,-1.0,-1.0
2022-09-16,115.7300033569336,-1.0,-1.0
2022-09-19,114.94000244140625,-1.0,-1.0
2022-09-20,114.06999969482422,-1.0,-1.0
2022-09-21,113.81999969482422,-1.0,-1.0
2022-09-22,112.55000305175781,-1.0,-1.0
2022-09-23,109.97000122070312,-1.0,-1.0
